id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,location,last_review_year
51290219,Tiny home in Austin · ★4.87 · 1 bedroom · 1 bed · 1 bath,129032797,Molly,,78751,30.30888,-97.72526,Entire home/apt,63,2,87,2023-08-31,3.42,2,39,64,,"(-97.72526, 30.30888)",2023.0
51298832,Rental unit in Austin · ★4.30 · 1 bedroom · 1 bed · 1 bath,415429455,Granada,,78751,30.29871,-97.72142,Entire home/apt,100,2,30,2023-07-30,1.19,2,350,5,,"(-97.72142, 30.29871)",2023.0
51302025,Townhouse in Austin · 3 bedrooms · 3 beds · 2 baths,12399486,Julie,,78756,30.32842,-97.73093,Entire home/apt,150,120,0,,,24,363,0,,"(-97.73093, 30.32842)",
51304467,Rental unit in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,268655097,Erica,,78744,30.17532,-97.77519,Entire home/apt,140,7,4,2021-10-16,0.16,1,0,0,,"(-97.77519, 30.17532)",2021.0
51308854,Home in Austin · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,198626486,Courtney,,78758,30.39241,-97.70208,Entire home/apt,120,5,9,2023-08-04,0.72,10,156,7,,"(-97.70208, 30.39241)",2023.0
51310075,Home in Austin · ★New · 2 bedrooms · 2 beds · 1 bath,18168403,Sarah,,78702,30.26720177001708,-97.72876924595924,Entire home/apt,165,30,0,,,1,267,0,,"(-97.72876924595924, 30.26720177001708)",
51311184,Guesthouse in Austin · ★4.95 · 1 bedroom · 1 bed · 1 bath,372922743,Liz,,78757,30.33633,-97.74591,Entire home/apt,119,2,64,2023-05-28,2.74,1,19,23,,"(-97.74591, 30.33633)",2023.0
51319931,Home in Austin · 1 bedroom · 1 bed · 1 bath,67805684,Joe,,78753,30.38859,-97.67769,Entire home/apt,104,1,0,,,1,0,0,,"(-97.67769, 30.38859)",
51323258,Guesthouse in Austin · ★4.96 · 1 bedroom · 1 bed · 1 bath,270823346,Janice,,78733,30.32736,-97.87408,Entire home/apt,130,2,23,2023-06-10,1.26,1,134,15,,"(-97.87408, 30.32736)",2023.0
51326417,Cabin in Lakeway · ★4.98 · 2 bedrooms · 3 beds · 1 bath,46323332,Jonray,,78734,30.36778,-97.94516,Entire home/apt,122,2,50,2023-08-16,2.04,2,355,22,,"(-97.94516, 30.36778)",2023.0
51328879,Home in Austin · ★5.0 · 5 bedrooms · 8 beds · 2.5 baths,89524024,Homie,,78704,30.2389,-97.763,Entire home/apt,672,3,20,2023-08-06,1.17,1,174,13,,"(-97.763, 30.2389)",2023.0
51329416,Rental unit in Austin · ★4.83 · 3 bedrooms · 7 beds · 2.5 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,275,1,18,2022-09-25,0.71,9,305,2,,"(-97.72293853759766, 30.27909278869629)",2022.0
51330317,Condo in Austin · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,361355108,Renae,,78744,30.16633,-97.73236,Private room,79,2,9,2021-11-06,0.35,4,34,0,,"(-97.73236, 30.16633)",2021.0
51333029,Home in Austin · ★4.89 · 3 bedrooms · 3 beds · 2 baths,108633644,Briss,,78754,30.36858,-97.64865,Entire home/apt,127,3,18,2023-07-20,0.76,2,8,5,,"(-97.64865, 30.36858)",2023.0
51334224,Home in Austin · 1 bedroom · 2 beds · 1.5 baths,384844639,Alice,,78749,30.20277,-97.85747,Private room,35,28,1,2022-12-11,0.11,2,87,1,,"(-97.85747, 30.20277)",2022.0
51334444,Home in Austin · ★3.60 · 1 bedroom · 1 bed · 1 private bath,384844639,Alice,,78749,30.203499,-97.858109,Private room,40,30,5,2022-11-30,0.22,2,358,1,,"(-97.858109, 30.203499)",2022.0
51343538,Home in Austin · ★4.90 · 1 bedroom · 1 bed · 1 bath,1780691,Tyler,,78721,30.27935,-97.69715,Entire home/apt,136,30,10,2023-08-05,0.43,2,194,8,,"(-97.69715, 30.27935)",2023.0
51346596,Home in Austin · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,36959134,Sonny,,78704,30.23863,-97.74725,Entire home/apt,495,2,34,2023-09-03,1.39,1,75,17,,"(-97.74725, 30.23863)",2023.0
51346606,Home in Austin · ★5.0 · 4 bedrooms · 5 beds · 3 baths,138398089,GuestSpaces,,78702,30.26035,-97.71317,Entire home/apt,339,2,10,2023-05-22,0.42,31,341,5,,"(-97.71317, 30.26035)",2023.0
51347633,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,60282894,Paul,,78748,30.16247,-97.80272,Private room,50,7,4,2022-03-27,0.17,2,135,0,,"(-97.80272, 30.16247)",2022.0
51350104,Home in Austin · ★4.95 · 2 bedrooms · 2 beds · 1 bath,23810477,Mark,,78745,30.22132,-97.77997,Entire home/apt,191,2,61,2023-06-12,2.42,1,110,23,,"(-97.77997, 30.22132)",2023.0
51350517,Home in Austin · ★4.90 · 4 bedrooms · 5 beds · 3 baths,980514,Ashley,,78745,30.21768,-97.77517,Entire home/apt,900,2,42,2023-05-28,1.71,1,0,16,,"(-97.77517, 30.21768)",2023.0
51353363,Home in Austin · ★4.73 · 3 bedrooms · 7 beds · 2.5 baths,415706517,Black Opal,,78703,30.28942,-97.76908,Entire home/apt,903,1,22,2023-04-29,0.96,9,271,4,,"(-97.76908, 30.28942)",2023.0
51353589,Rental unit in Austin · ★4.75 · 2 bedrooms · 4 beds · 2 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,257,1,36,2023-07-25,1.41,9,287,11,,"(-97.72293853759766, 30.27909278869629)",2023.0
51353593,Rental unit in Austin · ★4.84 · 2 bedrooms · 4 beds · 2 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,293,1,45,2023-05-07,1.77,9,293,7,,"(-97.72293853759766, 30.27909278869629)",2023.0
51353596,Rental unit in Austin · ★4.92 · 3 bedrooms · 5 beds · 2.5 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,249,1,24,2023-06-11,1.01,9,286,6,,"(-97.72293853759766, 30.27909278869629)",2023.0
51363194,Home in Austin · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,387644534,Sophia,,78745,30.21766,-97.78023,Entire home/apt,162,2,48,2023-07-31,2.03,1,332,23,,"(-97.78023, 30.21766)",2023.0
